Date,Location,Unemployment Rate,Unemployment ('000s),Sector
2017-12,Canada,4.7,13.0,Agriculture
2018-01,Canada,5.2,13.8,Agriculture
2018-02,Canada,5.7,15.5,Agriculture
2018-03,Canada,6.4,18.1,Agriculture
2018-04,Canada,4.2,12.4,Agriculture
2018-05,Canada,2.9,9.1,Agriculture
2018-06,Canada,2.8,8.5,Agriculture
2018-07,Canada,2.4,7.4,Agriculture
2018-08,Canada,2.5,7.7,Agriculture
2018-09,Canada,2.1,6.3,Agriculture
2018-10,Canada,2.8,8.6,Agriculture
2018-11,Canada,6.7,20.5,Agriculture
2018-12,Canada,5.7,17.1,Agriculture
2019-01,Canada,7.6,22.1,Agriculture
2019-02,Canada,8.0,23.3,Agriculture
2019-03,Canada,7.7,22.7,Agriculture
2019-04,Canada,5.8,17.7,Agriculture
2019-05,Canada,2.2,7.1,Agriculture
2019-06,Canada,2.8,9.1,Agriculture
2019-07,Canada,3.2,10.3,Agriculture
2019-08,Canada,2.5,8.2,Agriculture
2019-09,Canada,2.6,8.3,Agriculture
2019-10,Canada,4.0,12.6,Agriculture
2019-11,Canada,3.7,11.4,Agriculture
2019-12,Canada,5.0,14.6,Agriculture
2020-01,Canada,5.9,17.3,Agriculture
2020-02,Canada,7.9,23.6,Agriculture
2020-03,Canada,6.0,16.9,Agriculture
2020-04,Canada,7.3,21.3,Agriculture
2020-05,Canada,5.1,15.5,Agriculture
2020-06,Canada,4.4,13.4,Agriculture
2020-07,Canada,3.0,8.9,Agriculture
2020-08,Canada,5.5,17.0,Agriculture
2020-09,Canada,3.3,9.6,Agriculture
2020-10,Canada,4.5,13.4,Agriculture
2020-11,Canada,4.1,12.1,Agriculture
2020-12,Canada,5.3,15.0,Agriculture
2021-01,Canada,7.6,20.4,Agriculture
2021-02,Canada,4.9,12.8,Agriculture
2021-03,Canada,5.7,15.7,Agriculture
2021-04,Canada,5.4,15.3,Agriculture
2021-05,Canada,3.3,9.6,Agriculture
2021-06,Canada,3.2,8.9,Agriculture
2021-07,Canada,4.2,12.3,Agriculture
2021-08,Canada,4.4,12.4,Agriculture
2021-09,Canada,3.6,9.5,Agriculture
2021-10,Canada,3.5,9.1,Agriculture
2021-11,Canada,5.3,13.8,Agriculture
2021-12,Canada,6.6,16.3,Agriculture
2022-01,Canada,7.6,18.9,Agriculture
2022-02,Canada,5.9,14.6,Agriculture
2022-03,Canada,6.8,17.5,Agriculture
2022-04,Canada,5.0,12.9,Agriculture
2022-05,Canada,2.6,7.2,Agriculture
2022-06,Canada,2.6,7.1,Agriculture
2022-07,Canada,1.6,4.5,Agriculture
2022-08,Canada,3.1,8.9,Agriculture
2022-09,Canada,2.1,5.8,Agriculture
2022-10,Canada,4.2,11.9,Agriculture
2022-11,Canada,5.9,16.1,Agriculture
2022-12,Canada,4.7,12.6,Agriculture
2023-01,Canada,5.4,13.8,Agriculture
2023-02,Canada,4.2,10.6,Agriculture
2023-03,Canada,4.8,12.3,Agriculture
2023-04,Canada,3.1,8.1,Agriculture
2023-05,Canada,2.1,6.0,Agriculture
2023-06,Canada,4.4,12.1,Agriculture
2023-07,Canada,1.9,5.4,Agriculture
2023-08,Canada,1.3,3.6,Agriculture
2023-09,Canada,1.3,3.3,Agriculture
2023-10,Canada,3.1,8.4,Agriculture
2023-11,Canada,4.2,10.9,Agriculture
2023-12,Canada,3.5,8.4,Agriculture
2024-01,Canada,4.2,9.3,Agriculture
2024-02,Canada,5.1,11.3,Agriculture
2024-03,Canada,5.3,11.8,Agriculture
2017-01,Canada,10.8,37.7,"Forestry, fishing, mining, quarrying, oil and gas"
2017-02,Canada,10.1,35.1,"Forestry, fishing, mining, quarrying, oil and gas"
2017-03,Canada,11.4,39.7,"Forestry, fishing, mining, quarrying, oil and gas"
2017-04,Canada,11.7,39.9,"Forestry, fishing, mining, quarrying, oil and gas"
2017-05,Canada,8.0,28.3,"Forestry, fishing, mining, quarrying, oil and gas"
2017-06,Canada,5.6,19.3,"Forestry, fishing, mining, quarrying, oil and gas"
2017-07,Canada,6.5,22.9,"Forestry, fishing, mining, quarrying, oil and gas"
2017-08,Canada,7.2,25.5,"Forestry, fishing, mining, quarrying, oil and gas"
2017-09,Canada,5.9,20.5,"Forestry, fishing, mining, quarrying, oil and gas"
2017-10,Canada,6.8,23.5,"Forestry, fishing, mining, quarrying, oil and gas"
2017-11,Canada,9.1,31.6,"Forestry, fishing, mining, quarrying, oil and gas"
2017-12,Canada,8.0,27.9,"Forestry, fishing, mining, quarrying, oil and gas"
2018-01,Canada,9.1,31.3,"Forestry, fishing, mining, quarrying, oil and gas"
2018-02,Canada,7.6,26.1,"Forestry, fishing, mining, quarrying, oil and gas"
2018-03,Canada,8.7,30.2,"Forestry, fishing, mining, quarrying, oil and gas"
2018-04,Canada,7.8,26.6,"Forestry, fishing, mining, quarrying, oil and gas"
2018-05,Canada,8.5,30.7,"Forestry, fishing, mining, quarrying, oil and gas"
2018-06,Canada,6.0,22.5,"Forestry, fishing, mining, quarrying, oil and gas"
2018-07,Canada,5.1,18.6,"Forestry, fishing, mining, quarrying, oil and gas"
2018-08,Canada,6.8,25.2,"Forestry, fishing, mining, quarrying, oil and gas"
2018-09,Canada,6.5,23.7,"Forestry, fishing, mining, quarrying, oil and gas"
2018-10,Canada,7.6,27.5,"Forestry, fishing, mining, quarrying, oil and gas"
2018-11,Canada,7.8,28.6,"Forestry, fishing, mining, quarrying, oil and gas"
2018-12,Canada,7.2,26.2,"Forestry, fishing, mining, quarrying, oil and gas"
2019-01,Canada,9.3,34.7,"Forestry, fishing, mining, quarrying, oil and gas"
2019-02,Canada,8.4,31.3,"Forestry, fishing, mining, quarrying, oil and gas"
2019-03,Canada,9.2,34.0,"Forestry, fishing, mining, quarrying, oil and gas"
2019-04,Canada,10.2,37.5,"Forestry, fishing, mining, quarrying, oil and gas"
2019-05,Canada,8.3,30.7,"Forestry, fishing, mining, quarrying, oil and gas"
2019-06,Canada,6.4,23.5,"Forestry, fishing, mining, quarrying, oil and gas"
2019-07,Canada,6.6,24.0,"Forestry, fishing, mining, quarrying, oil and gas"
2019-08,Canada,6.3,22.2,"Forestry, fishing, mining, quarrying, oil and gas"
2019-09,Canada,5.6,19.6,"Forestry, fishing, mining, quarrying, oil and gas"
2019-10,Canada,6.7,23.7,"Forestry, fishing, mining, quarrying, oil and gas"
2019-11,Canada,7.0,23.8,"Forestry, fishing, mining, quarrying, oil and gas"
2019-12,Canada,7.8,27.2,"Forestry, fishing, mining, quarrying, oil and gas"
2020-01,Canada,8.7,30.0,"Forestry, fishing, mining, quarrying, oil and gas"
2020-02,Canada,7.8,26.4,"Forestry, fishing, mining, quarrying, oil and gas"
2020-03,Canada,9.4,32.1,"Forestry, fishing, mining, quarrying, oil and gas"
2020-04,Canada,17.4,58.6,"Forestry, fishing, mining, quarrying, oil and gas"
2020-05,Canada,15.3,54.4,"Forestry, fishing, mining, quarrying, oil and gas"
2020-06,Canada,13.0,45.4,"Forestry, fishing, mining, quarrying, oil and gas"
2020-07,Canada,11.0,38.7,"Forestry, fishing, mining, quarrying, oil and gas"
2020-08,Canada,9.4,31.5,"Forestry, fishing, mining, quarrying, oil and gas"
2020-09,Canada,11.6,39.2,"Forestry, fishing, mining, quarrying, oil and gas"
2020-10,Canada,10.3,35.6,"Forestry, fishing, mining, quarrying, oil and gas"
2020-11,Canada,9.0,31.4,"Forestry, fishing, mining, quarrying, oil and gas"
2020-12,Canada,9.9,35.5,"Forestry, fishing, mining, quarrying, oil and gas"
2021-01,Canada,10.2,36.1,"Forestry, fishing, mining, quarrying, oil and gas"
2021-02,Canada,9.8,34.5,"Forestry, fishing, mining, quarrying, oil and gas"
2021-03,Canada,11.6,41.0,"Forestry, fishing, mining, quarrying, oil and gas"
2021-04,Canada,10.1,35.2,"Forestry, fishing, mining, quarrying, oil and gas"
2021-05,Canada,5.7,20.5,"Forestry, fishing, mining, quarrying, oil and gas"
2021-06,Canada,5.9,21.3,"Forestry, fishing, mining, quarrying, oil and gas"
2021-07,Canada,5.4,19.7,"Forestry, fishing, mining, quarrying, oil and gas"
2021-08,Canada,7.2,25.4,"Forestry, fishing, mining, quarrying, oil and gas"
2021-09,Canada,4.9,17.1,"Forestry, fishing, mining, quarrying, oil and gas"
2021-10,Canada,6.3,21.8,"Forestry, fishing, mining, quarrying, oil and gas"
2021-11,Canada,8.4,28.8,"Forestry, fishing, mining, quarrying, oil and gas"
2021-12,Canada,4.5,15.3,"Forestry, fishing, mining, quarrying, oil and gas"
2022-01,Canada,6.0,20.4,"Forestry, fishing, mining, quarrying, oil and gas"
2022-02,Canada,6.0,20.7,"Forestry, fishing, mining, quarrying, oil and gas"
2022-03,Canada,5.3,18.5,"Forestry, fishing, mining, quarrying, oil and gas"
2022-04,Canada,7.4,25.8,"Forestry, fishing, mining, quarrying, oil and gas"
2022-05,Canada,5.2,19.3,"Forestry, fishing, mining, quarrying, oil and gas"
2022-06,Canada,4.3,15.3,"Forestry, fishing, mining, quarrying, oil and gas"
2022-07,Canada,5.0,17.6,"Forestry, fishing, mining, quarrying, oil and gas"
2022-08,Canada,6.0,21.3,"Forestry, fishing, mining, quarrying, oil and gas"
2022-09,Canada,5.5,19.3,"Forestry, fishing, mining, quarrying, oil and gas"
2022-10,Canada,5.2,17.6,"Forestry, fishing, mining, quarrying, oil and gas"
2022-11,Canada,6.3,21.6,"Forestry, fishing, mining, quarrying, oil and gas"
2022-12,Canada,4.4,14.9,"Forestry, fishing, mining, quarrying, oil and gas"
2023-01,Canada,7.0,23.9,"Forestry, fishing, mining, quarrying, oil and gas"
2023-02,Canada,6.8,23.7,"Forestry, fishing, mining, quarrying, oil and gas"
2023-03,Canada,7.1,24.0,"Forestry, fishing, mining, quarrying, oil and gas"
2023-04,Canada,8.2,27.5,"Forestry, fishing, mining, quarrying, oil and gas"
2023-05,Canada,5.5,19.5,"Forestry, fishing, mining, quarrying, oil and gas"
2023-06,Canada,5.5,19.8,"Forestry, fishing, mining, quarrying, oil and gas"
2023-07,Canada,5.3,18.7,"Forestry, fishing, mining, quarrying, oil and gas"
2023-08,Canada,5.2,18.5,"Forestry, fishing, mining, quarrying, oil and gas"
2023-09,Canada,6.1,21.4,"Forestry, fishing, mining, quarrying, oil and gas"
2023-10,Canada,6.3,22.0,"Forestry, fishing, mining, quarrying, oil and gas"
2023-11,Canada,9.8,34.6,"Forestry, fishing, mining, quarrying, oil and gas"
2023-12,Canada,9.3,33.7,"Forestry, fishing, mining, quarrying, oil and gas"
2024-01,Canada,9.3,33.5,"Forestry, fishing, mining, quarrying, oil and gas"
2024-02,Canada,7.6,27.5,"Forestry, fishing, mining, quarrying, oil and gas"
2024-03,Canada,7.9,28.6,"Forestry, fishing, mining, quarrying, oil and gas"
2017-01,Canada,16.5,8.7,Forestry and logging and support activities for forestry
2017-02,Canada,17.7,9.0,Forestry and logging and support activities for forestry
2017-03,Canada,14.8,7.4,Forestry and logging and support activities for forestry
2017-04,Canada,21.6,9.5,Forestry and logging and support activities for forestry
2017-05,Canada,18.6,8.7,Forestry and logging and support activities for forestry
2017-06,Canada,5.1,2.6,Forestry and logging and support activities for forestry
2017-07,Canada,6.3,3.6,Forestry and logging and support activities for forestry
2017-08,Canada,10.5,6.1,Forestry and logging and support activities for forestry
2017-09,Canada,6.9,3.8,Forestry and logging and support activities for forestry
2017-10,Canada,7.7,4.2,Forestry and logging and support activities for forestry
2017-11,Canada,10.7,6.2,Forestry and logging and support activities for forestry
2017-12,Canada,10.2,5.5,Forestry and logging and support activities for forestry
2018-01,Canada,12.1,6.3,Forestry and logging and support activities for forestry
2018-02,Canada,15.7,8.5,Forestry and logging and support activities for forestry
2018-03,Canada,16.1,8.5,Forestry and logging and support activities for forestry
2018-04,Canada,18.3,9.1,Forestry and logging and support activities for forestry
2018-05,Canada,18.5,10.3,Forestry and logging and support activities for forestry
2018-06,Canada,7.8,4.5,Forestry and logging and support activities for forestry
2018-07,Canada,5.2,3.0,Forestry and logging and support activities for forestry
2018-08,Canada,9.9,6.4,Forestry and logging and support activities for forestry
2018-09,Canada,6.8,4.2,Forestry and logging and support activities for forestry
2018-10,Canada,7.7,4.4,Forestry and logging and support activities for forestry
2018-11,Canada,14.4,7.9,Forestry and logging and support activities for forestry
2018-12,Canada,15.2,8.3,Forestry and logging and support activities for forestry
2019-01,Canada,17.5,10.3,Forestry and logging and support activities for forestry
2019-02,Canada,13.9,7.8,Forestry and logging and support activities for forestry
2019-03,Canada,16.6,9.9,Forestry and logging and support activities for forestry
2019-04,Canada,13.3,6.8,Forestry and logging and support activities for forestry
2019-05,Canada,15.2,8.0,Forestry and logging and support activities for forestry
2019-06,Canada,7.3,4.0,Forestry and logging and support activities for forestry
2019-07,Canada,6.8,3.6,Forestry and logging and support activities for forestry
2019-08,Canada,8.0,4.1,Forestry and logging and support activities for forestry
2019-09,Canada,6.2,2.8,Forestry and logging and support activities for forestry
2019-10,Canada,11.1,5.7,Forestry and logging and support activities for forestry
2019-11,Canada,11.1,5.5,Forestry and logging and support activities for forestry
2019-12,Canada,11.6,6.0,Forestry and logging and support activities for forestry
2020-01,Canada,14.6,6.9,Forestry and logging and support activities for forestry
2020-02,Canada,13.3,6.6,Forestry and logging and support activities for forestry
2020-03,Canada,16.4,7.8,Forestry and logging and support activities for forestry
2020-04,Canada,18.1,8.9,Forestry and logging and support activities for forestry
2020-05,Canada,17.4,10.1,Forestry and logging and support activities for forestry
2020-06,Canada,10.1,5.8,Forestry and logging and support activities for forestry
2020-07,Canada,7.8,5.6,Forestry and logging and support activities for forestry
2020-08,Canada,7.257078565614976,27.29993297266242,Forestry and logging and support activities for forestry
2020-09,Canada,8.6,5.3,Forestry and logging and support activities for forestry
2020-10,Canada,9.6,4.8,Forestry and logging and support activities for forestry
2020-11,Canada,7.2,4.1,Forestry and logging and support activities for forestry
2020-12,Canada,11.0,6.7,Forestry and logging and support activities for forestry
2021-01,Canada,19.6,10.3,Forestry and logging and support activities for forestry
2021-02,Canada,12.4,5.8,Forestry and logging and support activities for forestry
2021-03,Canada,13.3,6.1,Forestry and logging and support activities for forestry
2021-04,Canada,15.2,8.4,Forestry and logging and support activities for forestry
2021-05,Canada,11.1,6.5,Forestry and logging and support activities for forestry
2021-06,Canada,5.2,2.9,Forestry and logging and support activities for forestry
2021-07,Canada,3.8,2.2,Forestry and logging and support activities for forestry
2021-08,Canada,9.4,5.1,Forestry and logging and support activities for forestry
2021-09,Canada,7.257078565614976,27.29993297266242,Forestry and logging and support activities for forestry
2021-10,Canada,5.7,3.0,Forestry and logging and support activities for forestry
2021-11,Canada,9.7,5.1,Forestry and logging and support activities for forestry
2021-12,Canada,11.0,5.7,Forestry and logging and support activities for forestry
2022-01,Canada,10.1,5.5,Forestry and logging and support activities for forestry
2022-02,Canada,10.9,5.5,Forestry and logging and support activities for forestry
2022-03,Canada,9.1,4.9,Forestry and logging and support activities for forestry
2022-04,Canada,14.9,8.2,Forestry and logging and support activities for forestry
2022-05,Canada,10.4,6.4,Forestry and logging and support activities for forestry
2022-06,Canada,8.3,4.8,Forestry and logging and support activities for forestry
2022-07,Canada,5.5,3.1,Forestry and logging and support activities for forestry
2022-08,Canada,6.6,3.4,Forestry and logging and support activities for forestry
2022-09,Canada,12.2,6.3,Forestry and logging and support activities for forestry
2022-10,Canada,8.3,3.5,Forestry and logging and support activities for forestry
2022-11,Canada,10.4,4.1,Forestry and logging and support activities for forestry
2022-12,Canada,8.0,2.9,Forestry and logging and support activities for forestry
2023-01,Canada,13.5,4.7,Forestry and logging and support activities for forestry
2023-02,Canada,14.6,6.0,Forestry and logging and support activities for forestry
2023-03,Canada,13.4,5.0,Forestry and logging and support activities for forestry
2023-04,Canada,18.3,6.8,Forestry and logging and support activities for forestry
2023-05,Canada,14.5,7.1,Forestry and logging and support activities for forestry
2023-06,Canada,10.6,4.9,Forestry and logging and support activities for forestry
2023-07,Canada,9.5,4.4,Forestry and logging and support activities for forestry
2023-08,Canada,14.1,6.8,Forestry and logging and support activities for forestry
2023-09,Canada,10.4,4.4,Forestry and logging and support activities for forestry
2023-10,Canada,11.5,5.0,Forestry and logging and support activities for forestry
2023-11,Canada,13.7,5.8,Forestry and logging and support activities for forestry
2023-12,Canada,12.4,5.4,Forestry and logging and support activities for forestry
2024-01,Canada,12.5,5.5,Forestry and logging and support activities for forestry
2024-02,Canada,9.0,4.2,Forestry and logging and support activities for forestry
2024-03,Canada,8.6,4.0,Forestry and logging and support activities for forestry
2017-01,Canada,30.4,5.5,"Fishing, hunting and trapping"
2017-02,Canada,27.6,5.6,"Fishing, hunting and trapping"
2017-03,Canada,37.2,8.4,"Fishing, hunting and trapping"
2017-04,Canada,35.7,9.7,"Fishing, hunting and trapping"
2017-05,Canada,12.2,4.1,"Fishing, hunting and trapping"
2017-06,Canada,15.2,4.6,"Fishing, hunting and trapping"
2017-07,Canada,22.2,6.3,"Fishing, hunting and trapping"
2017-08,Canada,26.4,6.4,"Fishing, hunting and trapping"
2017-09,Canada,29.6,6.8,"Fishing, hunting and trapping"
2017-10,Canada,33.3,7.0,"Fishing, hunting and trapping"
2017-11,Canada,42.2,8.6,"Fishing, hunting and trapping"
2017-12,Canada,33.2,7.0,"Fishing, hunting and trapping"
2018-01,Canada,34.3,6.8,"Fishing, hunting and trapping"
2018-02,Canada,35.8,6.7,"Fishing, hunting and trapping"
2018-03,Canada,34.9,6.7,"Fishing, hunting and trapping"
2018-04,Canada,25.8,6.8,"Fishing, hunting and trapping"
2018-05,Canada,7.7,2.3,"Fishing, hunting and trapping"
2018-06,Canada,7.8,2.2,"Fishing, hunting and trapping"
2018-07,Canada,23.7,5.4,"Fishing, hunting and trapping"
2018-08,Canada,25.8,5.4,"Fishing, hunting and trapping"
2018-09,Canada,24.6,5.8,"Fishing, hunting and trapping"
2018-10,Canada,27.5,5.5,"Fishing, hunting and trapping"
2018-11,Canada,31.3,6.1,"Fishing, hunting and trapping"
2018-12,Canada,25.4,5.8,"Fishing, hunting and trapping"
