Date,Location,Category,Dollar Value ('000s')
2021-03-01,Canada,Live animals or animal products,327249
2021-04-01,Canada,Live animals or animal products,293752
2021-05-01,Canada,Live animals or animal products,302327
2021-06-01,Canada,Live animals or animal products,322673
2021-07-01,Canada,Live animals or animal products,428776
2021-08-01,Canada,Live animals or animal products,466548
2021-09-01,Canada,Live animals or animal products,517369
2021-10-01,Canada,Live animals or animal products,490769
2021-11-01,Canada,Live animals or animal products,404322
2021-12-01,Canada,Live animals or animal products,359668
2022-01-01,Canada,Live animals or animal products,289692
2022-02-01,Canada,Live animals or animal products,283175
2022-03-01,Canada,Live animals or animal products,349103
2022-04-01,Canada,Live animals or animal products,348831
2022-05-01,Canada,Live animals or animal products,356120
2022-06-01,Canada,Live animals or animal products,343838
2022-07-01,Canada,Live animals or animal products,397023
2022-08-01,Canada,Live animals or animal products,439967
2022-09-01,Canada,Live animals or animal products,466918
2022-10-01,Canada,Live animals or animal products,482439
2022-11-01,Canada,Live animals or animal products,450583
2022-12-01,Canada,Live animals or animal products,381581
2023-01-01,Canada,Live animals or animal products,359038
2023-02-01,Canada,Live animals or animal products,310600
2023-03-01,Canada,Live animals or animal products,411778
2023-04-01,Canada,Live animals or animal products,350064
2023-05-01,Canada,Live animals or animal products,382417
2023-06-01,Canada,Live animals or animal products,378533
2023-07-01,Canada,Live animals or animal products,429185
2023-08-01,Canada,Live animals or animal products,454875
2023-09-01,Canada,Live animals or animal products,471585
2023-10-01,Canada,Live animals or animal products,451274
2023-11-01,Canada,Live animals or animal products,405062
2023-12-01,Canada,Live animals or animal products,371674
2024-01-01,Canada,Live animals or animal products,331344
2024-02-01,Canada,Live animals or animal products,358846
2024-03-01,Canada,Live animals or animal products,410672
2017-01-01,Canada,Vegetable products,564754
2017-02-01,Canada,Vegetable products,569018
2017-03-01,Canada,Vegetable products,680784
2017-04-01,Canada,Vegetable products,715557
2017-05-01,Canada,Vegetable products,788310
2017-06-01,Canada,Vegetable products,787548
2017-07-01,Canada,Vegetable products,695320
2017-08-01,Canada,Vegetable products,599082
2017-09-01,Canada,Vegetable products,573419
2017-10-01,Canada,Vegetable products,613424
2017-11-01,Canada,Vegetable products,628599
2017-12-01,Canada,Vegetable products,571197
2018-01-01,Canada,Vegetable products,561648
2018-02-01,Canada,Vegetable products,553465
2018-03-01,Canada,Vegetable products,662592
2018-04-01,Canada,Vegetable products,641472
2018-05-01,Canada,Vegetable products,737492
2018-06-01,Canada,Vegetable products,807382
2018-07-01,Canada,Vegetable products,709316
2018-08-01,Canada,Vegetable products,607340
2018-09-01,Canada,Vegetable products,650824
2018-10-01,Canada,Vegetable products,699392
2018-11-01,Canada,Vegetable products,776447
2018-12-01,Canada,Vegetable products,712219
2019-01-01,Canada,Vegetable products,647648
2019-02-01,Canada,Vegetable products,579707
2019-03-01,Canada,Vegetable products,728239
2019-04-01,Canada,Vegetable products,776089
2019-05-01,Canada,Vegetable products,812092
2019-06-01,Canada,Vegetable products,848142
2019-07-01,Canada,Vegetable products,771822
2019-08-01,Canada,Vegetable products,667604
2019-09-01,Canada,Vegetable products,616271
2019-10-01,Canada,Vegetable products,653167
2019-11-01,Canada,Vegetable products,653219
2019-12-01,Canada,Vegetable products,600028
2020-01-01,Canada,Vegetable products,614209
2020-02-01,Canada,Vegetable products,600676
2020-03-01,Canada,Vegetable products,794686
2020-04-01,Canada,Vegetable products,674494
2020-05-01,Canada,Vegetable products,796440
2020-06-01,Canada,Vegetable products,789396
2020-07-01,Canada,Vegetable products,790927
2020-08-01,Canada,Vegetable products,661692
2020-09-01,Canada,Vegetable products,630253
2020-10-01,Canada,Vegetable products,691054
2020-11-01,Canada,Vegetable products,668498
2020-12-01,Canada,Vegetable products,612564
2021-01-01,Canada,Vegetable products,626931
2021-02-01,Canada,Vegetable products,582884
2021-03-01,Canada,Vegetable products,725772
2021-04-01,Canada,Vegetable products,718457
2021-05-01,Canada,Vegetable products,826568
2021-06-01,Canada,Vegetable products,810324
2021-07-01,Canada,Vegetable products,768168
2021-08-01,Canada,Vegetable products,659636
2021-09-01,Canada,Vegetable products,684146
2021-10-01,Canada,Vegetable products,764495
2021-11-01,Canada,Vegetable products,832838
2021-12-01,Canada,Vegetable products,879035
2022-01-01,Canada,Vegetable products,779380
2022-02-01,Canada,Vegetable products,823272
2022-03-01,Canada,Vegetable products,999833
2022-04-01,Canada,Vegetable products,978231
2022-05-01,Canada,Vegetable products,1056952
2022-06-01,Canada,Vegetable products,958954
2022-07-01,Canada,Vegetable products,964620
2022-08-01,Canada,Vegetable products,806851
2022-09-01,Canada,Vegetable products,711720
2022-10-01,Canada,Vegetable products,775527
2022-11-01,Canada,Vegetable products,761267
2022-12-01,Canada,Vegetable products,746916
2023-01-01,Canada,Vegetable products,730925
2023-02-01,Canada,Vegetable products,732258
2023-03-01,Canada,Vegetable products,828375
2023-04-01,Canada,Vegetable products,829047
2023-05-01,Canada,Vegetable products,887133
2023-06-01,Canada,Vegetable products,934460
2023-07-01,Canada,Vegetable products,826834
2023-08-01,Canada,Vegetable products,807694
2023-09-01,Canada,Vegetable products,797692
2023-10-01,Canada,Vegetable products,824969
2023-11-01,Canada,Vegetable products,905449
2023-12-01,Canada,Vegetable products,761135
2024-01-01,Canada,Vegetable products,735891
2024-02-01,Canada,Vegetable products,733430
2024-03-01,Canada,Vegetable products,862686
2017-01-01,Canada,Animal or vegetable oils,36919
2017-02-01,Canada,Animal or vegetable oils,31045
2017-03-01,Canada,Animal or vegetable oils,38925
2017-04-01,Canada,Animal or vegetable oils,32528
2017-05-01,Canada,Animal or vegetable oils,37073
2017-06-01,Canada,Animal or vegetable oils,38090
2017-07-01,Canada,Animal or vegetable oils,39521
2017-08-01,Canada,Animal or vegetable oils,41559
2017-09-01,Canada,Animal or vegetable oils,39440
2017-10-01,Canada,Animal or vegetable oils,41938
2017-11-01,Canada,Animal or vegetable oils,38891
2017-12-01,Canada,Animal or vegetable oils,31571
2018-01-01,Canada,Animal or vegetable oils,45176
2018-02-01,Canada,Animal or vegetable oils,36600
2018-03-01,Canada,Animal or vegetable oils,37535
2018-04-01,Canada,Animal or vegetable oils,33489
2018-05-01,Canada,Animal or vegetable oils,36171
2018-06-01,Canada,Animal or vegetable oils,35601
2018-07-01,Canada,Animal or vegetable oils,37146
2018-08-01,Canada,Animal or vegetable oils,37925
2018-09-01,Canada,Animal or vegetable oils,38297
2018-10-01,Canada,Animal or vegetable oils,39374
2018-11-01,Canada,Animal or vegetable oils,36756
2018-12-01,Canada,Animal or vegetable oils,36495
2019-01-01,Canada,Animal or vegetable oils,33164
2019-02-01,Canada,Animal or vegetable oils,31829
2019-03-01,Canada,Animal or vegetable oils,37504
2019-04-01,Canada,Animal or vegetable oils,33257
2019-05-01,Canada,Animal or vegetable oils,32947
2019-06-01,Canada,Animal or vegetable oils,32757
2019-07-01,Canada,Animal or vegetable oils,33242
2019-08-01,Canada,Animal or vegetable oils,34227
2019-09-01,Canada,Animal or vegetable oils,35102
2019-10-01,Canada,Animal or vegetable oils,38403
2019-11-01,Canada,Animal or vegetable oils,37422
2019-12-01,Canada,Animal or vegetable oils,33618
2020-01-01,Canada,Animal or vegetable oils,36812
2020-02-01,Canada,Animal or vegetable oils,33120
2020-03-01,Canada,Animal or vegetable oils,41762
2020-04-01,Canada,Animal or vegetable oils,33831
2020-05-01,Canada,Animal or vegetable oils,36193
2020-06-01,Canada,Animal or vegetable oils,41048
2020-07-01,Canada,Animal or vegetable oils,40856
2020-08-01,Canada,Animal or vegetable oils,47320
2020-09-01,Canada,Animal or vegetable oils,47221
2020-10-01,Canada,Animal or vegetable oils,53300
2020-11-01,Canada,Animal or vegetable oils,42306
2020-12-01,Canada,Animal or vegetable oils,40462
2021-01-01,Canada,Animal or vegetable oils,35366
2021-02-01,Canada,Animal or vegetable oils,37526
2021-03-01,Canada,Animal or vegetable oils,51736
2021-04-01,Canada,Animal or vegetable oils,44852
2021-05-01,Canada,Animal or vegetable oils,52061
2021-06-01,Canada,Animal or vegetable oils,55480
2021-07-01,Canada,Animal or vegetable oils,55127
2021-08-01,Canada,Animal or vegetable oils,60938
2021-09-01,Canada,Animal or vegetable oils,60776
2021-10-01,Canada,Animal or vegetable oils,66304
2021-11-01,Canada,Animal or vegetable oils,54650
2021-12-01,Canada,Animal or vegetable oils,62550
2022-01-01,Canada,Animal or vegetable oils,59973
2022-02-01,Canada,Animal or vegetable oils,66358
2022-03-01,Canada,Animal or vegetable oils,72480
2022-04-01,Canada,Animal or vegetable oils,73944
2022-05-01,Canada,Animal or vegetable oils,67154
2022-06-01,Canada,Animal or vegetable oils,71434
2022-07-01,Canada,Animal or vegetable oils,74317
2022-08-01,Canada,Animal or vegetable oils,95593
2022-09-01,Canada,Animal or vegetable oils,98154
2022-10-01,Canada,Animal or vegetable oils,79808
2022-11-01,Canada,Animal or vegetable oils,79247
2022-12-01,Canada,Animal or vegetable oils,58076
2023-01-01,Canada,Animal or vegetable oils,66833
2023-02-01,Canada,Animal or vegetable oils,50575
2023-03-01,Canada,Animal or vegetable oils,53489
2023-04-01,Canada,Animal or vegetable oils,54785
2023-05-01,Canada,Animal or vegetable oils,56345
2023-06-01,Canada,Animal or vegetable oils,56957
2023-07-01,Canada,Animal or vegetable oils,56489
2023-08-01,Canada,Animal or vegetable oils,61292
2023-09-01,Canada,Animal or vegetable oils,80884
2023-10-01,Canada,Animal or vegetable oils,66999
2023-11-01,Canada,Animal or vegetable oils,62181
2023-12-01,Canada,Animal or vegetable oils,53902
2024-01-01,Canada,Animal or vegetable oils,51491
2024-02-01,Canada,Animal or vegetable oils,49530
2024-03-01,Canada,Animal or vegetable oils,52178
2017-01-01,Canada,Processed food and beverages,1188748
2017-02-01,Canada,Processed food and beverages,1113905
2017-03-01,Canada,Processed food and beverages,1339106
2017-04-01,Canada,Processed food and beverages,1230671
2017-05-01,Canada,Processed food and beverages,1385094
2017-06-01,Canada,Processed food and beverages,1318478
2017-07-01,Canada,Processed food and beverages,1260758
2017-08-01,Canada,Processed food and beverages,1362871
2017-09-01,Canada,Processed food and beverages,1237498
2017-10-01,Canada,Processed food and beverages,1307793
2017-11-01,Canada,Processed food and beverages,1286936
2017-12-01,Canada,Processed food and beverages,1176838
2018-01-01,Canada,Processed food and beverages,1139887
2018-02-01,Canada,Processed food and beverages,1114962
2018-03-01,Canada,Processed food and beverages,1287087
2018-04-01,Canada,Processed food and beverages,1207696
2018-05-01,Canada,Processed food and beverages,1334398
2018-06-01,Canada,Processed food and beverages,1348399
2018-07-01,Canada,Processed food and beverages,1289939
2018-08-01,Canada,Processed food and beverages,1386921
2018-09-01,Canada,Processed food and beverages,1300941
2018-10-01,Canada,Processed food and beverages,1336474
2018-11-01,Canada,Processed food and beverages,1299052
2018-12-01,Canada,Processed food and beverages,1216102
2019-01-01,Canada,Processed food and beverages,1214496
2019-02-01,Canada,Processed food and beverages,1119000
2019-03-01,Canada,Processed food and beverages,1321468
2019-04-01,Canada,Processed food and beverages,1295787
2019-05-01,Canada,Processed food and beverages,1369532
2019-06-01,Canada,Processed food and beverages,1303997
2019-07-01,Canada,Processed food and beverages,1345319
2019-08-01,Canada,Processed food and beverages,1410944
2019-09-01,Canada,Processed food and beverages,1328625
2019-10-01,Canada,Processed food and beverages,1422458
2019-11-01,Canada,Processed food and beverages,1328590
2019-12-01,Canada,Processed food and beverages,1237887
2020-01-01,Canada,Processed food and beverages,1280788
2020-02-01,Canada,Processed food and beverages,1222029
2020-03-01,Canada,Processed food and beverages,1462745
2020-04-01,Canada,Processed food and beverages,1267776
2020-05-01,Canada,Processed food and beverages,1235245
2020-06-01,Canada,Processed food and beverages,1323624
2020-07-01,Canada,Processed food and beverages,1418431
2020-08-01,Canada,Processed food and beverages,1471821
2020-09-01,Canada,Processed food and beverages,1425228
2020-10-01,Canada,Processed food and beverages,1496965
2020-11-01,Canada,Processed food and beverages,1345346
2020-12-01,Canada,Processed food and beverages,1297460
2021-01-01,Canada,Processed food and beverages,1253087
2021-02-01,Canada,Processed food and beverages,1185244
2021-03-01,Canada,Processed food and beverages,1441803
2021-04-01,Canada,Processed food and beverages,1370149
2021-05-01,Canada,Processed food and beverages,1302522
2021-06-01,Canada,Processed food and beverages,1428822
2021-07-01,Canada,Processed food and beverages,1454566
2021-08-01,Canada,Processed food and beverages,1469185
2021-09-01,Canada,Processed food and beverages,1483439
2021-10-01,Canada,Processed food and beverages,1495852
2021-11-01,Canada,Processed food and beverages,1461418
2021-12-01,Canada,Processed food and beverages,1524249
2022-01-01,Canada,Processed food and beverages,1331683
2022-02-01,Canada,Processed food and beverages,1379103
2022-03-01,Canada,Processed food and beverages,1775970
2022-04-01,Canada,Processed food and beverages,1625544
2022-05-01,Canada,Processed food and beverages,1672630
2022-06-01,Canada,Processed food and beverages,1774741
2022-07-01,Canada,Processed food and beverages,1688701
2022-08-01,Canada,Processed food and beverages,1812915
2022-09-01,Canada,Processed food and beverages,1780079
2022-10-01,Canada,Processed food and beverages,1777806
2022-11-01,Canada,Processed food and beverages,1705149
2022-12-01,Canada,Processed food and beverages,1639360
2023-01-01,Canada,Processed food and beverages,1635393
2023-02-01,Canada,Processed food and beverages,1553827
2023-03-01,Canada,Processed food and beverages,1952392
2023-04-01,Canada,Processed food and beverages,1685036
2023-05-01,Canada,Processed food and beverages,1875476
2023-06-01,Canada,Processed food and beverages,1855982
2023-07-01,Canada,Processed food and beverages,1768135
2023-08-01,Canada,Processed food and beverages,1916305
2023-09-01,Canada,Processed food and beverages,1849100
2023-10-01,Canada,Processed food and beverages,1913246
2023-11-01,Canada,Processed food and beverages,1836396
2023-12-01,Canada,Processed food and beverages,1687689
2024-01-01,Canada,Processed food and beverages,1672819
2024-02-01,Canada,Processed food and beverages,1686887
2024-03-01,Canada,Processed food and beverages,1852824
2017-01-01,Newfoundland and Labrador,Live animals or animal products,0
2017-02-01,Newfoundland and Labrador,Live animals or animal products,0
2017-03-01,Newfoundland and Labrador,Live animals or animal products,1
2017-04-01,Newfoundland and Labrador,Live animals or animal products,0
2017-05-01,Newfoundland and Labrador,Live animals or animal products,0
2017-06-01,Newfoundland and Labrador,Live animals or animal products,0
2017-07-01,Newfoundland and Labrador,Live animals or animal products,1
2017-08-01,Newfoundland and Labrador,Live animals or animal products,0
2017-09-01,Newfoundland and Labrador,Live animals or animal products,0
2017-10-01,Newfoundland and Labrador,Live animals or animal products,0
2017-11-01,Newfoundland and Labrador,Live animals or animal products,0
2017-12-01,Newfoundland and Labrador,Live animals or animal products,0
2018-01-01,Newfoundland and Labrador,Live animals or animal products,0
2018-02-01,Newfoundland and Labrador,Live animals or animal products,0
2018-03-01,Newfoundland and Labrador,Live animals or animal products,361
2018-04-01,Newfoundland and Labrador,Live animals or animal products,747
2018-05-01,Newfoundland and Labrador,Live animals or animal products,68
2018-06-01,Newfoundland and Labrador,Live animals or animal products,0
2018-07-01,Newfoundland and Labrador,Live animals or animal products,0
2018-08-01,Newfoundland and Labrador,Live animals or animal products,1
2018-09-01,Newfoundland and Labrador,Live animals or animal products,0
2018-10-01,Newfoundland and Labrador,Live animals or animal products,0
2018-11-01,Newfoundland and Labrador,Live animals or animal products,2
2018-12-01,Newfoundland and Labrador,Live animals or animal products,2
2019-01-01,Newfoundland and Labrador,Live animals or animal products,0
2019-02-01,Newfoundland and Labrador,Live animals or animal products,0
2019-03-01,Newfoundland and Labrador,Live animals or animal products,60
2019-04-01,Newfoundland and Labrador,Live animals or animal products,764
2019-05-01,Newfoundland and Labrador,Live animals or animal products,1900
2019-06-01,Newfoundland and Labrador,Live animals or animal products,71
2019-07-01,Newfoundland and Labrador,Live animals or animal products,2
2019-08-01,Newfoundland and Labrador,Live animals or animal products,0
2019-09-01,Newfoundland and Labrador,Live animals or animal products,1
2019-10-01,Newfoundland and Labrador,Live animals or animal products,0
2019-11-01,Newfoundland and Labrador,Live animals or animal products,0
2019-12-01,Newfoundland and Labrador,Live animals or animal products,2
2020-01-01,Newfoundland and Labrador,Live animals or animal products,0
2020-02-01,Newfoundland and Labrador,Live animals or animal products,2
2020-03-01,Newfoundland and Labrador,Live animals or animal products,0
2020-04-01,Newfoundland and Labrador,Live animals or animal products,143
2020-05-01,Newfoundland and Labrador,Live animals or animal products,219
2020-06-01,Newfoundland and Labrador,Live animals or animal products,3
2020-07-01,Newfoundland and Labrador,Live animals or animal products,0
2020-08-01,Newfoundland and Labrador,Live animals or animal products,0
2020-09-01,Newfoundland and Labrador,Live animals or animal products,1
2020-10-01,Newfoundland and Labrador,Live animals or animal products,0
2020-11-01,Newfoundland and Labrador,Live animals or animal products,0
2020-12-01,Newfoundland and Labrador,Live animals or animal products,0
2021-01-01,Newfoundland and Labrador,Live animals or animal products,4
2021-02-01,Newfoundland and Labrador,Live animals or animal products,2
2021-03-01,Newfoundland and Labrador,Live animals or animal products,0
2021-04-01,Newfoundland and Labrador,Live animals or animal products,131
2021-05-01,Newfoundland and Labrador,Live animals or animal products,1
2021-06-01,Newfoundland and Labrador,Live animals or animal products,0
2021-07-01,Newfoundland and Labrador,Live animals or animal products,2
2021-08-01,Newfoundland and Labrador,Live animals or animal products,0
2021-09-01,Newfoundland and Labrador,Live animals or animal products,2
2021-10-01,Newfoundland and Labrador,Live animals or animal products,2
2021-11-01,Newfoundland and Labrador,Live animals or animal products,0
2021-12-01,Newfoundland and Labrador,Live animals or animal products,0
2022-01-01,Newfoundland and Labrador,Live animals or animal products,1
2022-02-01,Newfoundland and Labrador,Live animals or animal products,1
2022-03-01,Newfoundland and Labrador,Live animals or animal products,0
2022-04-01,Newfoundland and Labrador,Live animals or animal products,131
2022-05-01,Newfoundland and Labrador,Live animals or animal products,263
2022-06-01,Newfoundland and Labrador,Live animals or animal products,0
2022-07-01,Newfoundland and Labrador,Live animals or animal products,1
2022-08-01,Newfoundland and Labrador,Live animals or animal products,1
2022-09-01,Newfoundland and Labrador,Live animals or animal products,2
2022-10-01,Newfoundland and Labrador,Live animals or animal products,0
2022-11-01,Newfoundland and Labrador,Live animals or animal products,1
2022-12-01,Newfoundland and Labrador,Live animals or animal products,373
2023-01-01,Newfoundland and Labrador,Live animals or animal products,0
2023-02-01,Newfoundland and Labrador,Live animals or animal products,2
2023-03-01,Newfoundland and Labrador,Live animals or animal products,6
2023-04-01,Newfoundland and Labrador,Live animals or animal products,42
2023-05-01,Newfoundland and Labrador,Live animals or animal products,1
2023-06-01,Newfoundland and Labrador,Live animals or animal products,4
2023-07-01,Newfoundland and Labrador,Live animals or animal products,2
2023-08-01,Newfoundland and Labrador,Live animals or animal products,2
2023-09-01,Newfoundland and Labrador,Live animals or animal products,331
2023-10-01,Newfoundland and Labrador,Live animals or animal products,503
2023-11-01,Newfoundland and Labrador,Live animals or animal products,2
2023-12-01,Newfoundland and Labrador,Live animals or animal products,0
2024-01-01,Newfoundland and Labrador,Live animals or animal products,1
2024-02-01,Newfoundland and Labrador,Live animals or animal products,2
2024-03-01,Newfoundland and Labrador,Live animals or animal products,0
2017-01-01,Newfoundland and Labrador,Vegetable products,0
2017-02-01,Newfoundland and Labrador,Vegetable products,1
2017-03-01,Newfoundland and Labrador,Vegetable products,0
2017-04-01,Newfoundland and Labrador,Vegetable products,0
2017-05-01,Newfoundland and Labrador,Vegetable products,0
2017-06-01,Newfoundland and Labrador,Vegetable products,1
2017-07-01,Newfoundland and Labrador,Vegetable products,0
2017-08-01,Newfoundland and Labrador,Vegetable products,0
2017-09-01,Newfoundland and Labrador,Vegetable products,1
2017-10-01,Newfoundland and Labrador,Vegetable products,0
2017-11-01,Newfoundland and Labrador,Vegetable products,77
2017-12-01,Newfoundland and Labrador,Vegetable products,0
2018-01-01,Newfoundland and Labrador,Vegetable products,0
2018-02-01,Newfoundland and Labrador,Vegetable products,0
2018-03-01,Newfoundland and Labrador,Vegetable products,0
2018-04-01,Newfoundland and Labrador,Vegetable products,0
2018-05-01,Newfoundland and Labrador,Vegetable products,0
2018-06-01,Newfoundland and Labrador,Vegetable products,0
2018-07-01,Newfoundland and Labrador,Vegetable products,0
2018-08-01,Newfoundland and Labrador,Vegetable products,0
2018-09-01,Newfoundland and Labrador,Vegetable products,0
2018-10-01,Newfoundland and Labrador,Vegetable products,0
2018-11-01,Newfoundland and Labrador,Vegetable products,0
2018-12-01,Newfoundland and Labrador,Vegetable products,0
2019-01-01,Newfoundland and Labrador,Vegetable products,0
2019-02-01,Newfoundland and Labrador,Vegetable products,0
2019-03-01,Newfoundland and Labrador,Vegetable products,1
2019-04-01,Newfoundland and Labrador,Vegetable products,2
2019-05-01,Newfoundland and Labrador,Vegetable products,2
2019-06-01,Newfoundland and Labrador,Vegetable products,0
2019-07-01,Newfoundland and Labrador,Vegetable products,0
2019-08-01,Newfoundland and Labrador,Vegetable products,0
2019-09-01,Newfoundland and Labrador,Vegetable products,0
2019-10-01,Newfoundland and Labrador,Vegetable products,1
2019-11-01,Newfoundland and Labrador,Vegetable products,1
2019-12-01,Newfoundland and Labrador,Vegetable products,0
2020-01-01,Newfoundland and Labrador,Vegetable products,0
2020-02-01,Newfoundland and Labrador,Vegetable products,3
2020-03-01,Newfoundland and Labrador,Vegetable products,2
2020-04-01,Newfoundland and Labrador,Vegetable products,0
2020-05-01,Newfoundland and Labrador,Vegetable products,2
2020-06-01,Newfoundland and Labrador,Vegetable products,1
2020-07-01,Newfoundland and Labrador,Vegetable products,0
2020-08-01,Newfoundland and Labrador,Vegetable products,1
2020-09-01,Newfoundland and Labrador,Vegetable products,0
2020-10-01,Newfoundland and Labrador,Vegetable products,1
2020-11-01,Newfoundland and Labrador,Vegetable products,0
2020-12-01,Newfoundland and Labrador,Vegetable products,0
2021-01-01,Newfoundland and Labrador,Vegetable products,0
2021-02-01,Newfoundland and Labrador,Vegetable products,0
2021-03-01,Newfoundland and Labrador,Vegetable products,1
2021-04-01,Newfoundland and Labrador,Vegetable products,5
2021-05-01,Newfoundland and Labrador,Vegetable products,0
2021-06-01,Newfoundland and Labrador,Vegetable products,0
2021-07-01,Newfoundland and Labrador,Vegetable products,0
2021-08-01,Newfoundland and Labrador,Vegetable products,1
2021-09-01,Newfoundland and Labrador,Vegetable products,0
2021-10-01,Newfoundland and Labrador,Vegetable products,0
2021-11-01,Newfoundland and Labrador,Vegetable products,1
2021-12-01,Newfoundland and Labrador,Vegetable products,0
2022-01-01,Newfoundland and Labrador,Vegetable products,0
2022-02-01,Newfoundland and Labrador,Vegetable products,0
2022-03-01,Newfoundland and Labrador,Vegetable products,0
2022-04-01,Newfoundland and Labrador,Vegetable products,0
2022-05-01,Newfoundland and Labrador,Vegetable products,0
2022-06-01,Newfoundland and Labrador,Vegetable products,0
2022-07-01,Newfoundland and Labrador,Vegetable products,0
2022-08-01,Newfoundland and Labrador,Vegetable products,0
2022-09-01,Newfoundland and Labrador,Vegetable products,0
2022-10-01,Newfoundland and Labrador,Vegetable products,3
2022-11-01,Newfoundland and Labrador,Vegetable products,1
2022-12-01,Newfoundland and Labrador,Vegetable products,0
2023-01-01,Newfoundland and Labrador,Vegetable products,0
2023-02-01,Newfoundland and Labrador,Vegetable products,0
2023-03-01,Newfoundland and Labrador,Vegetable products,1
2023-04-01,Newfoundland and Labrador,Vegetable products,0
2023-05-01,Newfoundland and Labrador,Vegetable products,1
2023-06-01,Newfoundland and Labrador,Vegetable products,0
2023-07-01,Newfoundland and Labrador,Vegetable products,1
2023-08-01,Newfoundland and Labrador,Vegetable products,0
2023-09-01,Newfoundland and Labrador,Vegetable products,0
2023-10-01,Newfoundland and Labrador,Vegetable products,0
2023-11-01,Newfoundland and Labrador,Vegetable products,1
2023-12-01,Newfoundland and Labrador,Vegetable products,1
2024-01-01,Newfoundland and Labrador,Vegetable products,0
2024-02-01,Newfoundland and Labrador,Vegetable products,0
2024-03-01,Newfoundland and Labrador,Vegetable products,0
2017-01-01,Newfoundland and Labrador,Animal or vegetable oils,0
2017-02-01,Newfoundland and Labrador,Animal or vegetable oils,0
2017-03-01,Newfoundland and Labrador,Animal or vegetable oils,0
2017-04-01,Newfoundland and Labrador,Animal or vegetable oils,0
2017-05-01,Newfoundland and Labrador,Animal or vegetable oils,0
2017-06-01,Newfoundland and Labrador,Animal or vegetable oils,1
2017-07-01,Newfoundland and Labrador,Animal or vegetable oils,0
2017-08-01,Newfoundland and Labrador,Animal or vegetable oils,0
2017-09-01,Newfoundland and Labrador,Animal or vegetable oils,0
2017-10-01,Newfoundland and Labrador,Animal or vegetable oils,0
2017-11-01,Newfoundland and Labrador,Animal or vegetable oils,0
2017-12-01,Newfoundland and Labrador,Animal or vegetable oils,0
2018-01-01,Newfoundland and Labrador,Animal or vegetable oils,0
2018-02-01,Newfoundland and Labrador,Animal or vegetable oils,0
2018-03-01,Newfoundland and Labrador,Animal or vegetable oils,0
2018-04-01,Newfoundland and Labrador,Animal or vegetable oils,0
2018-05-01,Newfoundland and Labrador,Animal or vegetable oils,0
2018-06-01,Newfoundland and Labrador,Animal or vegetable oils,0
2018-07-01,Newfoundland and Labrador,Animal or vegetable oils,0
2018-08-01,Newfoundland and Labrador,Animal or vegetable oils,0
2018-09-01,Newfoundland and Labrador,Animal or vegetable oils,0
2018-10-01,Newfoundland and Labrador,Animal or vegetable oils,0
2018-11-01,Newfoundland and Labrador,Animal or vegetable oils,0
2018-12-01,Newfoundland and Labrador,Animal or vegetable oils,0
2019-01-01,Newfoundland and Labrador,Animal or vegetable oils,0
